Tamaliza,tamaliza-sedona-4,https://www.yelp.com/biz/tamaliza-sedona-4,671,4.5,-111.7812231,34.86245252,FALSE,(928) 202-9056,1155 W State Rte 89A,"Sedona, AZ 86336","Mexican, Latin American, Gluten-Free",Sedona,AZ,Arizona
Korilla,korilla-bbq-food-truck-brooklyn,https://www.yelp.com/biz/korilla-bbq-food-truck-brooklyn,15,4,-73.99036,40.69246,FALSE,,,New York,Food Trucks,New York,NY,NYC
Korilla,korilla-bbq-midtown-east-new-york,https://www.yelp.com/biz/korilla-bbq-midtown-east-new-york,57,3.5,-73.9699062,40.7601182,FALSE,(212) 317-8822,672 Lexington Ave,"New York, NY 10022","Korean, Barbeque",New York,NY,NYC
Korilla,korilla-bbq-new-york,https://www.yelp.com/biz/korilla-bbq-new-york,493,4,-73.98226471,40.76476559,FALSE,,55TH And Broadway,"New York, NY 10019",Food Trucks,New York,NY,NYC
Korilla,korilla-bbq-new-york-3,https://www.yelp.com/biz/korilla-bbq-new-york-3,31,3.5,-73.991317,40.818878,FALSE,,237 Park Ave,"New York, NY 10029","Barbeque, Korean",New York,NY,NYC
Korilla,korilla-bbq-new-york-5,https://www.yelp.com/biz/korilla-bbq-new-york-5,392,4,-73.98965424,40.72958586,TRUE,(646) 823-9423,23 3rd Ave,"New York, NY 10003","Korean, Salad, Asian Fusion",New York,NY,NYC
La Carbonara,la-carbonara-new-york,https://www.yelp.com/biz/la-carbonara-new-york,400,3.5,-74.00030136,40.73863246,TRUE,(212) 255-2060,202 W 14th St,"New York, NY 10011",Italian,New York,NY,NYC
La Masseria,la-masseria-new-york-3,https://www.yelp.com/biz/la-masseria-new-york-3,524,4,-73.9863488,40.76086863,FALSE,(212) 582-2111,235 W 48th St,"New York, NY 10036",Italian,New York,NY,NYC
Land of Plenty,land-of-plenty-new-york,https://www.yelp.com/biz/land-of-plenty-new-york,277,3.5,-73.96664,40.76063,FALSE,(212) 308-8788,204E 58th St,"New York, NY 10022",Chinese,New York,NY,NYC
Le Midi Bar & Restaurant,le-midi-bar-and-restaurant-new-york-2,https://www.yelp.com/biz/le-midi-bar-and-restaurant-new-york-2,338,4,-73.99318117,40.73507476,FALSE,(212) 255-8787,11 E 13th St,"New York, NY 10003","French, Bars",New York,NY,NYC
Los Tacos No 1,los-tacos-no-1-new-york,https://www.yelp.com/biz/los-tacos-no-1-new-york,2435,4.5,-74.0060838,40.7425547,FALSE,(212) 256-0343,75 9th Ave,"New York, NY 10011",Tacos,New York,NY,NYC
Los Tacos No 1,los-tacos-no-1-new-york-3,https://www.yelp.com/biz/los-tacos-no-1-new-york-3,839,4.5,-73.9877717,40.7575067,FALSE,(212) 574-4696,229 W 43rd St,"New York, NY 10036",Tacos,New York,NY,NYC
Lukes Lobster,lukes-lobster-brooklyn-bridge-park-brooklyn-2,https://www.yelp.com/biz/lukes-lobster-brooklyn-bridge-park-brooklyn-2,260,4,-73.99411,40.70359,FALSE,(917) 882-7516,11 Water St,"Brooklyn, NY 11201",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-canal-street-market-new-york-2,https://www.yelp.com/biz/lukes-lobster-canal-street-market-new-york-2,12,3,-74.00095,40.71893,TRUE,(917) 475-9193,261 Canal St,Fl 1,Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-east-village-new-york,https://www.yelp.com/biz/lukes-lobster-east-village-new-york,1480,4,-73.98526001,40.72694016,FALSE,(212) 387-8487,93 E 7th St,"New York, NY 10009",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-fidi-new-york,https://www.yelp.com/biz/lukes-lobster-fidi-new-york,997,4.5,-74.01077939,40.7046213,FALSE,(212) 747-1700,26 S William St,"New York, NY 10004",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-garment-district-new-york,https://www.yelp.com/biz/lukes-lobster-garment-district-new-york,26,4,-73.98777,40.75353,FALSE,(917) 475-9192,1407 Broadway,Space 8,Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-midtown-east-new-york,https://www.yelp.com/biz/lukes-lobster-midtown-east-new-york,298,4,-73.97329722,40.75127874,FALSE,(646) 657-0066,207 e 43rd st,"New York, NY 10017",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-mobile-lobster-roll-food-truck-new-york,https://www.yelp.com/biz/lukes-lobster-mobile-lobster-roll-food-truck-new-york,126,4,-73.9888,40.73124,FALSE,,,New York,"Seafood, Food Trucks",New York,NY,NYC
Lukes Lobster,lukes-lobster-nomad-new-york,https://www.yelp.com/biz/lukes-lobster-nomad-new-york,105,4,-73.98962918,40.74341809,FALSE,(646) 657-0747,5 W 25th St,"New York, NY 10010",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-park-slope-brooklyn,https://www.yelp.com/biz/lukes-lobster-park-slope-brooklyn,163,4,-73.9811,40.67526,FALSE,(347) 457-6855,237 5th Ave,"Brooklyn, NY 11215",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-plaza-food-hall-new-york-2,https://www.yelp.com/biz/lukes-lobster-plaza-food-hall-new-york-2,402,4,-73.97435612,40.76465054,FALSE,(646) 755-3227,The Plaza Food Hall,1 W 59th St,Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-times-square-new-york,https://www.yelp.com/biz/lukes-lobster-times-square-new-york,158,4,-73.98830414,40.75870895,FALSE,(917) 338-0928,700 8th Ave,"New York, NY 10036",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-union-square-new-york,https://www.yelp.com/biz/lukes-lobster-union-square-new-york,46,4,-73.99221,40.73484,FALSE,(917) 475-9191,124 University Pl,"New York, NY 10003",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-upper-east-side-new-york,https://www.yelp.com/biz/lukes-lobster-upper-east-side-new-york,1105,4,-73.95454919,40.77473085,FALSE,(212) 249-4241,242 E 81st St,"New York, NY 10028",Seafood,New York,NY,NYC
Lukes Lobster,lukes-lobster-upper-west-side-new-york,https://www.yelp.com/biz/lukes-lobster-upper-west-side-new-york,631,4,-73.977868,40.78424,FALSE,(212) 877-8800,426 Amsterdam Ave,"New York, NY 10024",Seafood,New York,NY,NYC
Menkui Tei,menkui-tei-new-york-3,https://www.yelp.com/biz/menkui-tei-new-york-3,1014,3.5,-73.97706,40.76326,FALSE,(212) 707-8702,58 W 56th St,"New York, NY 10019",Ramen,New York,NY,NYC
Mermaid Oyster Bar,mermaid-oyster-bar-new-york-2,https://www.yelp.com/biz/mermaid-oyster-bar-new-york-2,1002,4,-74.00165,40.7287899,FALSE,(212) 260-0100,79 MacDougal St,"New York, NY 10012","Seafood, Live/Raw Food",New York,NY,NYC
Mexicue,mexicue-new-york-4,https://www.yelp.com/biz/mexicue-new-york-4,331,3.5,-73.986511,40.754412,FALSE,(212) 302-0385,1440 Broadway,"New York, NY 10018","Mexican, Barbeque",New York,NY,NYC
Mexicue,mexicue-new-york-6,https://www.yelp.com/biz/mexicue-new-york-6,313,4,-73.98804644,40.74347289,FALSE,(646) 922-7289,225 5th Ave,"New York, NY 10010","Mexican, Barbeque, Bars",New York,NY,NYC
Minetta Tavern,minetta-tavern-new-york,https://www.yelp.com/biz/minetta-tavern-new-york,2023,4,-74.00060738,40.7300048,FALSE,(212) 475-3850,113 Macdougal St,"New York, NY 10012","French, American (New), Breakfast & Brunch",New York,NY,NYC
Momofuku Noodle Bar,momofuku-noodle-bar-new-york,https://www.yelp.com/biz/momofuku-noodle-bar-new-york,3985,3.5,-73.98448482,40.72920638,FALSE,(212) 777-7773,171 1st Ave,"New York, NY 10003","Ramen, American (New)",New York,NY,NYC
Morgenstern's Finest Ice Cream,morgensterns-finest-ice-cream-new-york-2,https://www.yelp.com/biz/morgensterns-finest-ice-cream-new-york-2,1335,4,-73.99310925,40.72158723,FALSE,(212) 209-7684,2 Rivington St,"New York, NY 10002",Ice Cream & Frozen Yogurt,New York,NY,NYC
Morgenstern's Finest Ice Cream,morgensterns-finest-ice-cream-new-york-4,https://www.yelp.com/biz/morgensterns-finest-ice-cream-new-york-4,11,4,-73.9998753,40.7272066,FALSE,(212) 209-7684,490 LaGuardia Pl,"New York, NY 10012","Ice Cream & Frozen Yogurt, Food Stands",New York,NY,NYC
Morgenstern's Finest Ice Cream,morgensterns-finest-ice-cream-new-york-5,https://www.yelp.com/biz/morgensterns-finest-ice-cream-new-york-5,11,4.5,-73.99983119,40.727261,FALSE,,88 W Houston St,"New York, NY 10012",Ice Cream & Frozen Yogurt,New York,NY,NYC
Moti Mahal Deluxe,moti-mahal-delux-new-york,https://www.yelp.com/biz/moti-mahal-delux-new-york,410,4,-73.9605,40.76213,FALSE,(212) 371-3535,1149 1st Ave,"New York, NY 10065",Indian,New York,NY,NYC
Motorino,motorino-brooklyn-2,https://www.yelp.com/biz/motorino-brooklyn-2,217,4,-73.963462,40.710559,FALSE,(718) 599-8899,139 Broadway,"Brooklyn, NY 11211","Pizza, Italian, Cocktail Bars",New York,NY,NYC
Motorino,motorino-new-york-3,https://www.yelp.com/biz/motorino-new-york-3,173,3.5,-73.9730817,40.7855672,FALSE,(917) 675-7581,510 Columbus Ave,"New York, NY 10024",Pizza,New York,NY,NYC
Motorino,motorino-new-york-4,https://www.yelp.com/biz/motorino-new-york-4,1042,3.5,-73.98381,40.73039,FALSE,(212) 777-2644,349 E 12th St,Ste A,"Pizza, Italian",New York,NY,NYC
Murrays Bagels,murrays-bagels-new-york,https://www.yelp.com/biz/murrays-bagels-new-york,774,3.5,-73.997184,40.736339,FALSE,(212) 462-2830,500 Ave Of The Americas,"New York, NY 10011",Bagels,New York,NY,NYC
Murrays Bagels,murrays-bagels-new-york-4,https://www.yelp.com/biz/murrays-bagels-new-york-4,726,3.5,-73.998535,40.744758,FALSE,(646) 638-1335,242 8th Ave,"New York, NY 10011","Bagels, Breakfast & Brunch, Delis",New York,NY,NYC
My Pie,my-pie-new-york-5,https://www.yelp.com/biz/my-pie-new-york-5,93,4.5,-73.98117,40.77823,FALSE,(212) 787-7200,166 West 72nd St,"New York, NY 10023","Pizza, Italian",New York,NY,NYC
My Pie,my-pie-pizzeria-romana-new-york-2,https://www.yelp.com/biz/my-pie-pizzeria-romana-new-york-2,574,4.5,-73.9694809,40.7608512,FALSE,(212) 317-1850,690 Lexington Ave,"New York, NY 10022",Pizza,New York,NY,NYC
Toasties,new-toasties-new-york,https://www.yelp.com/biz/new-toasties-new-york,72,3.5,-74.0085904,40.709833,FALSE,(212) 513-1730,25 John St,"New York, NY 10038",Sandwiches,New York,NY,NYC
New Wonjo Restaurant,new-wonjo-restaurant-new-york,https://www.yelp.com/biz/new-wonjo-restaurant-new-york,1166,3.5,-73.98665,40.74788,FALSE,(212) 695-5815,23 W 32nd St,"New York, NY 10001","Korean, Barbeque, Noodles",New York,NY,NYC
Niu Noodle House,niu-noodle-house-new-york-9,https://www.yelp.com/biz/niu-noodle-house-new-york-9,609,4,-74.000082,40.734352,FALSE,(212) 488-9888,15 Greenwich Ave,"New York, NY 10014","Chinese, Asian Fusion, Noodles",New York,NY,NYC
Noodle Village,noodle-village-new-york,https://www.yelp.com/biz/noodle-village-new-york,865,4,-73.998803,40.714167,FALSE,(212) 233-0788,13 Mott St,"New York, NY 10013","Chinese, Noodles",New York,NY,NYC
Num Pang,num-pang-kitchen-new-york,https://www.yelp.com/biz/num-pang-kitchen-new-york,414,4,-73.989266,40.743441,FALSE,(212) 647-8889,1129 Broadway,"New York, NY 10010","Cambodian, Sandwiches",New York,NY,NYC
Num Pang,num-pang-kitchen-new-york-2,https://www.yelp.com/biz/num-pang-kitchen-new-york-2,1097,4,-73.97610788,40.75038312,FALSE,(212) 867-8889,140 E 41st St,"New York, NY 10017","Cambodian, Sandwiches",New York,NY,NYC
Num Pang,num-pang-kitchen-new-york-3,https://www.yelp.com/biz/num-pang-kitchen-new-york-3,295,4,-74.00612513,40.74242509,FALSE,(212) 390-8851,75 9th Ave,Chelsea Market,"Cambodian, Sandwiches",New York,NY,NYC
Num Pang,num-pang-kitchen-new-york-4,https://www.yelp.com/biz/num-pang-kitchen-new-york-4,166,3.5,-74.015304,40.712455,FALSE,(212) 227-1957,225 Liberty St,"New York, NY 10281",Sandwiches,New York,NY,NYC
Num Pang,num-pang-kitchen-new-york-6,https://www.yelp.com/biz/num-pang-kitchen-new-york-6,1371,4,-73.99312,40.73396,FALSE,(646) 791-0439,28 E 12th St,"New York, NY 10003","Cambodian, Sandwiches",New York,NY,NYC
Num Pang,num-pang-kitchen-new-york-7,https://www.yelp.com/biz/num-pang-kitchen-new-york-7,35,4,-73.98700706,40.75282241,FALSE,(917) 409-1134,133 West 38th St,"New York, NY 10018","Sandwiches, Asian Fusion, Cambodian",New York,NY,NYC
NY Jumbo Bagels,ny-jumbo-bagels-new-york,https://www.yelp.com/biz/ny-jumbo-bagels-new-york,254,4,-73.96537,40.75872,FALSE,(212) 355-6185,1070 2nd Ave,"New York, NY 10022","Bagels, Sandwiches, Coffee & Tea",New York,NY,NYC
Nyonya,nyonya-brooklyn,https://www.yelp.com/biz/nyonya-brooklyn,363,2.5,-73.99118,40.60002,FALSE,(718) 265-0888,2322 86th St,"Brooklyn, NY 11214",Malaysian,New York,NY,NYC
Nyonya,nyonya-brooklyn-2,https://www.yelp.com/biz/nyonya-brooklyn-2,298,3,-74.00582,40.63889,FALSE,(718) 633-0808,5323 8th Ave,"Brooklyn, NY 11220",Malaysian,New York,NY,NYC
Nyonya,nyonya-new-york,https://www.yelp.com/biz/nyonya-new-york,1881,4,-73.9968228,40.7190148,FALSE,(212) 334-3669,199 Grand St,"New York, NY 10013","Asian Fusion, Malaysian, Chinese",New York,NY,NYC
Co.,o-and-co-new-york-2,https://www.yelp.com/biz/o-and-co-new-york-2,30,4.5,-74.0026366,40.7309953,FALSE,(212) 463-7710,249 Bleecker St,"New York, NY 10014",Specialty Food,New York,NY,NYC
Obao,obao-new-york-2,https://www.yelp.com/biz/obao-new-york-2,184,3,-74.01065,40.70332,FALSE,(212) 361-6311,38 Water St,"New York, NY 10004","Thai, Asian Fusion, Vietnamese",New York,NY,NYC
Obao,obao-new-york-3,https://www.yelp.com/biz/obao-new-york-3,1927,4,-73.991332,40.7606544,FALSE,(212) 245-8880,647 9th Ave,"New York, NY 10036","Vietnamese, Thai, Asian Fusion",New York,NY,NYC
Obao,obao-new-york-4,https://www.yelp.com/biz/obao-new-york-4,732,3.5,-73.968566,40.757122,FALSE,(212) 308-5588,222 E 53rd St,"New York, NY 10022","Asian Fusion, Thai, Vietnamese",New York,NY,NYC
Ottos tacos,ottos-tacos-new-york,https://www.yelp.com/biz/ottos-tacos-new-york,672,4,-73.9874899,40.72914,FALSE,(646) 678-4018,141 2nd Ave,"New York, NY 10003",Tacos,New York,NY,NYC
Ottos tacos,ottos-tacos-new-york-2,https://www.yelp.com/biz/ottos-tacos-new-york-2,236,4,-74.00206,40.73454,FALSE,(646) 657-0646,131 7th Ave S,"New York, NY 10014",Mexican,New York,NY,NYC
Ottos tacos,ottos-tacos-new-york-3,https://www.yelp.com/biz/ottos-tacos-new-york-3,294,4,-73.99000549,40.7625885,FALSE,(646) 918-7681,705 9th Ave,"New York, NY 10019","Salad, Tacos",New York,NY,NYC
Ottos tacos,ottos-tacos-new-york-5,https://www.yelp.com/biz/ottos-tacos-new-york-5,96,4,-73.95327,40.78036,FALSE,(917) 388-2933,1568 3rd Ave,"New York, NY 10128",Tacos,New York,NY,NYC
Parisi Bakery,parisi-bakery-astoria-astoria,https://www.yelp.com/biz/parisi-bakery-astoria-astoria,139,4,-73.9254221,40.7622415,FALSE,(718) 728-5282,30-17 Broadway,"Astoria, NY 11106",Bakeries,New York,NY,NYC
Parisi Bakery,parisi-bakery-new-york,https://www.yelp.com/biz/parisi-bakery-new-york,376,4.5,-73.9954365,40.7211836,FALSE,(212) 226-6378,198 Mott St,"New York, NY 10012","Bakeries, Sandwiches",New York,NY,NYC
Park Avenue Summer,park-avenue-autumn-winter-spring-summer-new-york-3,https://www.yelp.com/biz/park-avenue-autumn-winter-spring-summer-new-york-3,745,4,-73.98521058,40.74197106,FALSE,(212) 951-7111,360 Park Ave S,"New York, NY 10010",American (New),New York,NY,NYC
Peoples Pops,peoples-pops-new-york-2,https://www.yelp.com/biz/peoples-pops-new-york-2,179,4,-74.00724397,40.74325802,FALSE,(347) 850-2388,W 16th St & 10th Ave,"New York, NY 10014","Ice Cream & Frozen Yogurt, Food Stands",New York,NY,NYC
Peoples Pops,peoples-pops-new-york-5,https://www.yelp.com/biz/peoples-pops-new-york-5,2,3.5,-74.0094471,40.7464969,FALSE,,425 W 15th St,Between 9 and 10 Avenue,"Shaved Ice, Ice Cream & Frozen Yogurt",New York,NY,NYC
Pho Grand,pho-grand-new-york-2,https://www.yelp.com/biz/pho-grand-new-york-2,716,3.5,-73.992773,40.717713,FALSE,(212) 965-5366,277 Grand St,Ste C,Vietnamese,New York,NY,NYC
Pio Pio,pio-bagel-brooklyn,https://www.yelp.com/biz/pio-bagel-brooklyn,100,3.5,-73.9865172,40.6920693,FALSE,(718) 237-2777,136 Lawrence St,"Brooklyn, NY 11201",Bagels,New York,NY,NYC
Pio Pio,pio-pio-1-rego-park-3,https://www.yelp.com/biz/pio-pio-1-rego-park-3,211,4,-73.8705844,40.7263774,FALSE,(718) 458-0606,62-30 Woodhaven Blvd,"Rego Park, NY 11379","Peruvian, Latin American",New York,NY,NYC
Pio Pio,pio-pio-2-jackson-heights-3,https://www.yelp.com/biz/pio-pio-2-jackson-heights-3,1101,3.5,-73.88315,40.7555,FALSE,(718) 426-4900,84-02 Northern Blvd,"Jackson Heights, NY 11372","Latin American, Peruvian",New York,NY,NYC
Pio Pio,pio-pio-3-new-york-5,https://www.yelp.com/biz/pio-pio-3-new-york-5,715,4,-73.947,40.77959,FALSE,(212) 426-5800,1746 First Ave,"New York, NY 10128","Latin American, Peruvian",New York,NY,NYC
Pio Pio,pio-pio-4-bronx-3,https://www.yelp.com/biz/pio-pio-4-bronx-3,161,3.5,-73.913923,40.805956,FALSE,(718) 401-3300,264 Cypress Ave,"Bronx, NY 10454","Latin American, Peruvian",New York,NY,NYC
Pio Pio,pio-pio-5-to-go-jackson-heights-4,https://www.yelp.com/biz/pio-pio-5-to-go-jackson-heights-4,92,3.5,-73.8827835,40.7560755,FALSE,(718) 426-1010,84-21 Northern Blvd,"Jackson Heights, NY 11372","Peruvian, Latin American",New York,NY,NYC
Pio Pio,pio-pio-6-new-york-2,https://www.yelp.com/biz/pio-pio-6-new-york-2,687,3.5,-73.971535,40.793007,FALSE,(212) 665-3000,702 Amsterdam Ave,"New York, NY 10025","Latin American, Peruvian",New York,NY,NYC
Pio Pio,pio-pio-7-new-york-5,https://www.yelp.com/biz/pio-pio-7-new-york-5,752,4,-73.97761,40.74534,FALSE,(212) 481-0034,210 E 34th St,"New York, NY 10016","Latin American, Peruvian",New York,NY,NYC
Pio Pio,pio-pio-8-new-york-5,https://www.yelp.com/biz/pio-pio-8-new-york-5,2115,4,-73.99456449,40.76050629,FALSE,(212) 459-2929,604 10th Ave,"New York, NY 10036","Latin American, Peruvian",New York,NY,NYC
Pio Pio,pio-pio-9-gravesend,https://www.yelp.com/biz/pio-pio-9-gravesend,260,3.5,-73.98026629,40.60507997,FALSE,(718) 627-3744,282 Kings Hwy,"Gravesend, NY 11223","Peruvian, Latin American",New York,NY,NYC
Pio Pio,pio-pio-restaurant-jersey-city,https://www.yelp.com/biz/pio-pio-restaurant-jersey-city,51,4,-74.04659294,40.75005095,FALSE,(201) 533-9400,449 Central Ave,"Jersey City, NJ 07307","Spanish, Latin American, Cuban",New York,NY,NYC
Certe,pizza-by-certe-new-york,https://www.yelp.com/biz/pizza-by-cert%C3%A9-new-york,381,4,-73.97011854,40.76037261,FALSE,(212) 813-2020,132 E 56th St,"New York, NY 10022","Pizza, Italian",New York,NY,NYC
Pizza By Certe,pizza-by-certe-new-york,https://www.yelp.com/biz/pizza-by-cert%C3%A9-new-york,381,4,-73.97011854,40.76037261,FALSE,(212) 813-2020,132 E 56th St,"New York, NY 10022","Pizza, Italian",New York,NY,NYC
Pocha 32,pocha-32-new-york,https://www.yelp.com/biz/pocha-32-new-york,1351,3.5,-73.98626268,40.74752457,FALSE,(212) 279-1876,15 W 32nd St,Fl 2,"Bars, Korean",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-brooklyn,https://www.yelp.com/biz/potbelly-sandwich-shop-brooklyn,70,3.5,-73.988534,40.692915,FALSE,(212) 897-1872,345 Adams St,"Brooklyn, NY 11201","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-jersey-city,https://www.yelp.com/biz/potbelly-sandwich-shop-jersey-city,46,3,-74.033344,40.715674,FALSE,(201) 253-1015,15 Exchange Pl,"Jersey City, NJ 07302","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york,190,4,-74.00696,40.707024,FALSE,(646) 289-4201,101 Maiden Ln,"New York, NY 10038","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-10,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-10,59,3.5,-73.97669,40.763116,FALSE,(646) 289-4210,46 W 56th St,"New York, NY 10019","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-11,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-11,78,3.5,-73.985465,40.741119,FALSE,(646) 289-4212,333 Park Ave S,"New York, NY 10010","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-13,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-13,52,3.5,-73.98042,40.755919,FALSE,(917) 595-1141,19 W 45th St,"New York, NY 10036","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-14,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-14,34,3.5,-73.992901,40.747524,FALSE,(646) 291-8460,333 7th Ave,"New York, NY 10001","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-15,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-15,48,3.5,-73.995556,40.737002,TRUE,(646) 289-4209,41 W 14th St,"New York, NY 10011","Sandwiches, Fast Food, Soup",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-16,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-16,32,3.5,-74.007363,40.710139,FALSE,(646) 307-4896,127 Fulton St,"New York, NY 10038","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-17,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-17,18,3,-73.978942,40.751114,FALSE,(646) 753-5170,100 Park Avenue & East 40th Street,"New York, NY 10017","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-2,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-2,154,3.5,-73.974324,40.752258,FALSE,(646) 289-4202,150 E 44th St,"New York, NY 10017","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-3,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-3,105,3.5,-73.979401,40.758821,FALSE,(646) 289-4203,30 Rockefeller Plz,"New York, NY 10112","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-4,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-4,136,3.5,-73.991098,40.737332,FALSE,(646) 289-4204,22 E 17th St,"New York, NY 10003","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-5,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-5,182,3.5,-73.988981,40.752914,FALSE,(646) 289-4205,501 7th Avenue,"New York, NY 10018","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-6,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-6,45,3,-74.005842,40.71448,FALSE,(646) 289-4206,280 Broadway,"New York, NY 10007","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-7,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-7,81,3.5,-73.984408,40.748991,FALSE,(646) 289-4207,366 5th Ave,"New York, NY 10001","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-8,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-8,53,3.5,-73.970512,40.757224,FALSE,(646) 289-4208,150 E 52nd St,"New York, NY 10022","Sandwiches, Fast Food, Salad",New York,NY,NYC
Potbelly,potbelly-sandwich-shop-new-york-9,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-9,62,3,-74.01174,40.70382,FALSE,(646) 289-4211,90 Broad St,G103,"Sandwiches, Fast Food, Salad",New York,NY,NYC
Pure Thai Cookhouse,pure-thai-cookhouse-new-york,https://www.yelp.com/biz/pure-thai-cookhouse-new-york,2270,4,-73.988159,40.764291,FALSE,(212) 581-0999,766 9th Ave,"New York, NY 10019","Thai, Noodles, Chicken Wings",New York,NY,NYC
Rock Center Cafe,rock-center-cafe-new-york,https://www.yelp.com/biz/rock-center-cafe-new-york,432,3,-73.97822678,40.75879384,FALSE,(212) 332-7620,Rockefeller Ctr,Lower Level,American (New),New York,NY,NYC
Saigon Shack,saigon-shack-new-york,https://www.yelp.com/biz/saigon-shack-new-york,2144,4,-74.000629,40.72969,FALSE,(212) 228-0588,114 Macdougal St,"New York, NY 10012","Sandwiches, Coffee & Tea, Salad",New York,NY,NYC
Saigon Vietnamese Sandwich Deli,saigon-vietnamese-sandwich-deli-new-york,https://www.yelp.com/biz/saigon-vietnamese-sandwich-deli-new-york,579,4,-73.9958631,40.7199582,FALSE,(212) 219-8341,369 Broome St,"New York, NY 10013","Sandwiches, Vietnamese",New York,NY,NYC
Seoul Garden,seoul-garden-new-york-2,https://www.yelp.com/biz/seoul-garden-new-york-2,638,3.5,-73.987791,40.748112,TRUE,(212) 736-9002,34 W 32nd St,Fl 2,Korean,New York,NY,NYC
Shake Shack,shake-shack-brooklyn,https://www.yelp.com/biz/shake-shack-brooklyn,803,4,-73.9888694,40.6920881,FALSE,(718) 307-7599,409 Fulton St,"Brooklyn, NY 11201","Burgers, Ice Cream & Frozen Yogurt",New York,NY,NYC
Shake Shack,shake-shack-brooklyn-14,https://www.yelp.com/biz/shake-shack-brooklyn-14,17,4,-73.96064,40.717432,FALSE,(929) 427-0420,160 Berry St,"Brooklyn, NY 11249","Burgers, Fast Food, Ice Cream & Frozen Yogurt",New York,NY,NYC
Shake Shack,shake-shack-elmhurst-2,https://www.yelp.com/biz/shake-shack-elmhurst-2,194,4,-73.86952418,40.73434377,FALSE,(347) 225-0190,90-15 Queens Blvd,Space 1069,"Burgers, Fast Food",New York,NY,NYC
Shake Shack,shake-shack-new-york-11,https://www.yelp.com/biz/shake-shack-new-york-11,883,4,-74.014799,40.715283,FALSE,(646) 545-4600,215 Murray St,"New York, NY 10282","Burgers, Ice Cream & Frozen Yogurt",New York,NY,NYC
Shake Shack,shake-shack-new-york-2,https://www.yelp.com/biz/shake-shack-new-york-2,5478,4,-73.98815019,40.74140002,FALSE,(212) 889-6600,Madison Square Park,E 23rd St & Madison Ave,"Burgers, Food Stands, Ice Cream & Frozen Yogurt",New York,NY,NYC
